name,homepage_url,results_url
"HOKA (Deckers""",https://www.hoka.com,https://deckers.wd5.myworkdayjobs.com/en-US/Deckers?q=data
Hollister Co.,https://www.hollisterco.com,https://corporate.abercrombie.com/careers/search-jobs/?job-department=1102304&job-keyword=data
Hollywood Feed,https://www.hollywoodfeed.com,https://www.paycomonline.net/v4/ats/web.php/jobs?clientkey=31981EBB15E6D4764692E923EEEEC42A
HOM Furniture,https://www.homfurniture.com,https://careers.homfurniture.com/?utm_source=homfurniture.com&utm_medium=link&utm_campaign=master
Homeland,https://www.homelandstores.com,https://homelandstores.com/wcp/applynow
HomeSense,https://us.homesense.com,https://jobs.tjx.com/global/en/search-results?keywords=data%20scientist
Hot Topic,https://www.hottopic.com,https://www.workatht.com/search-results/
HP,https://www.hp.com/us-en,https://apply.hp.com/careers?query=data&domain=hp.com
Hy-Vee,https://www.hy-vee.com,https://hyvee.wd1.myworkdayjobs.com/HyVeeCareers?q=data
iHerb,https://www.iherb.com,https://careers.iherb.com/global/en/search-jobs?search=data
IKEA US,https://www.ikea.com/us/en/,https://www.seeacareerwithus.com/search-jobs?keyword=data#search-results
Jared,https://www.jared.com,https://signetjewelers.wd1.myworkdayjobs.com/SignetCorporateCareers?q=data
JCPenney,https://www.jcpenney.com,https://jobs.jcp.com/careers-home/jobs?keywords=data
JD Sports US,https://www.jdsports.com,https://finishline.wd1.myworkdayjobs.com/Corporate_Careers?q=data
Jewel-Osco,https://www.jewelosco.com,https://eofd.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/pages/2003
JOANN,https://www.joann.com,https://careers.michaels.com/us/en/search-results?keywords=data%20scientist
"Johnston & Murphy (Genesco""",https://www.johnstonmurphy.com,https://recruiting.ultipro.com/GEN1014GENES/JobBoard/6c5826d4-653b-4c97-9826-ab6d1653a1e7/?q=data&o=relevance
Jos. A. Bank,https://www.josbank.com,https://apply.tailoredbrands.com/careers?hl=en-US&domain=tailoredbrands.com&query=data&start=0&pid=30867084&sort_by=solr
Journeys,https://www.journeys.com,https://recruiting.ultipro.com/GEN1014GENES/JobBoard/dc1fb7b6-c3fc-43e5-9ce1-844f7d00b266/?q=data&o=relevance
"Journeys (Genesco""",https://www.journeys.com,https://recruiting.ultipro.com/GEN1014GENES/JobBoard/dc1fb7b6-c3fc-43e5-9ce1-844f7d00b266/?q=data&o=relevance
Jungle Jim's International Market,https://junglejims.com,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=a12a9a5a-84e8-4d49-a2d4-85356a41a2bb&ccId=9200046197817_2&type=JS&lang=en_US
Kate Spade New York,https://www.katespade.com,https://careers.tapestry.com/search/?q=data&q2=&alertId=&locationsearch=&title=data+scientist&department=&facility=&location=
Kay Jewelers,https://www.kay.com,https://signetjewelers.wd1.myworkdayjobs.com/Kay_Jewelers?q=data
Keen Footwear,https://www.keenfootwear.com,https://www.keenfootwear.com/pages/careers-listings
"Kering (US""",https://www.kering.com,https://www.kering.com/en/talent/job-offers/kering-careers/?search=data&brandsList=Kering
Kids Foot Locker,https://www.kidsfootlocker.com,https://careers.footlocker.com/jobs?keywords=data%20scientist&sortBy=relevance&page=1
Kiehl's,https://www.kiehls.com,https://careers.loreal.com/en_US/jobs/SearchJobs/data?listFilterMode=1
Kings Food Markets,https://www.kingsfoodmarkets.com,https://eofd.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/pages/4010
Kinney Drugs,https://www.kinneydrugs.com,https://careers.kinneydrugs.com/kinneydrugs-careers/jobs?keywords=data
Kirkland's,https://www.kirklands.com,https://external-brandhouseco.icims.com/jobs/search?ss=1&searchKeyword=data&searchPositionType=2049
Krispy Kreme,https://www.krispykreme.com,https://apply.jobappnetwork.com/krispy?keywordsFilter=data
Kroger,https://www.kroger.com,https://www.krogerfamilycareers.com/en/sites/CX_2001/jobs?keyword=data&mode=location
Kum & Go,https://www.kumandgo.com,https://jobs.maverik.com/search/jobs?q=data+scientist&location=
Kwik Trip,https://www.kwiktrip.com,https://jobs.kwiktrip.com/us/en/search-results?keywords=data
L'Occitane,https://www.loccitane.com,https://joinus.loccitane.com/loccitane?type=&department=&country_id=&state=&title=data&brand=loccitane
Lands' End,https://www.landsend.com,https://recruiting2.ultipro.com/LAN1015LANDE/JobBoard/d2e1fa31-454c-4647-acee-4cbcea0162ab/?q=data&o=relevance&w=&wc=&we=&wpst=
LEGO Store,https://www.lego.com/en-us/stores,http://lego.com/en-us/careers/search?keyword=data+scientist
LensCrafters,https://www.lenscrafters.com,https://careers.essilorluxottica.com/search/?createNewAlert=false&q=data+scientist&optionsFacetsDD_country=&optionsFacetsDD_customfield1=&optionsFacetsDD_customfield2=&optionsFacetsDD_customfield3=&optionsFacetsDD_customfield4=
